2.7505,3.5005,4.2505,5.0005,5.7505,6.5005,7.2505,8.0005,8.7505,9.5005,10.25,11,11.75,12.5,13.25,14,14.75,15.5,16.25,17,17.75,18.5,19.25,20,20.75,21.5,22.25,23,23.75,24.5,25.25,26,26.75,27.5,28.25,29,29.75,30.5,31.25,32,32.75,33.5,34.25,35,35.75,36.5,37.25,38,38.75,39.5,40.25,41,41.75,42.5,43.25,44,44.75,45.5,46.25,47,47.75,48.5,49.25,50,50.75,51.5,52.25,53,53.75,54.5,55.25,56,56.75,57.5,58.25,59,59.75,60.5,61.25,62,62.75,63.5,64.25,65,65.75,66.5,67.25,68,68.75,69.5,70.25,71,71.75,72.5,73.25,74,74.75,75.5,76.25,77
4.751,5.501,6.251,7.001,7.751,8.501,9.251,10.001,10.751,11.501,12.251,13.001,13.751,14.501,15.251,16.001,16.751,17.501,18.251,19.001,19.751,20.501,21.251,22.001,22.751,23.501,24.251,25.001,25.751,26.501,27.251,28.001,28.751,29.501,30.251,31.001,31.751,32.501,33.251,34.001,34.751,35.501,36.251,37.001,37.751,38.501,39.251,40.001,40.751,41.501,42.251,43.001,43.751,44.501,45.251,46.001,46.751,47.501,48.251,49.001,49.751,50.501,51.251,52.001,52.751,53.501,54.251,55.001,55.751,56.501,57.251,58.001,58.751,59.501,60.251,61.001,61.751,62.501,63.251,64.001,64.751,65.501,66.251,67.001,67.751,68.501,69.251,70.001,70.751,71.501,72.251,73.001,73.751,74.501,75.251,76.001,76.751,77.501,78.251,79.001
6.7515,7.5015,8.2515,9.0015,9.7515,10.501,11.251,12.001,12.751,13.501,14.251,15.001,15.751,16.501,17.251,18.001,18.751,19.501,20.251,21.001,21.751,22.501,23.251,24.001,24.751,25.501,26.251,27.001,27.751,28.501,29.251,30.001,30.751,31.501,32.251,33.001,33.751,34.501,35.251,36.001,36.751,37.501,38.251,39.001,39.751,40.501,41.251,42.001,42.751,43.501,44.251,45.001,45.751,46.501,47.251,48.001,48.751,49.501,50.251,51.001,51.751,52.501,53.251,54.001,54.751,55.501,56.251,57.001,57.751,58.501,59.251,60.001,60.751,61.501,62.251,63.001,63.751,64.501,65.251,66.001,66.751,67.501,68.251,69.001,69.751,70.501,71.251,72.001,72.751,73.501,74.251,75.001,75.751,76.501,77.251,78.001,78.751,79.501,80.251,81.001
8.752,9.502,10.252,11.002,11.752,12.502,13.252,14.002,14.752,15.502,16.252,17.002,17.752,18.502,19.252,20.002,20.752,21.502,22.252,23.002,23.752,24.502,25.252,26.002,26.752,27.502,28.252,29.002,29.752,30.502,31.252,32.002,32.752,33.502,34.252,35.002,35.752,36.502,37.252,38.002,38.752,39.502,40.252,41.002,41.752,42.502,43.252,44.002,44.752,45.502,46.252,47.002,47.752,48.502,49.252,50.002,50.752,51.502,52.252,53.002,53.752,54.502,55.252,56.002,56.752,57.502,58.252,59.002,59.752,60.502,61.252,62.002,62.752,63.502,64.252,65.002,65.752,66.502,67.252,68.002,68.752,69.502,70.252,71.002,71.752,72.502,73.252,74.002,74.752,75.502,76.252,77.002,77.752,78.502,79.252,80.002,80.752,81.502,82.252,83.002
10.752,11.502,12.252,13.002,13.752,14.502,15.252,16.002,16.752,17.502,18.252,19.002,19.752,20.502,21.252,22.002,22.752,23.502,24.252,25.002,25.752,26.502,27.252,28.002,28.752,29.502,30.252,31.002,31.752,32.502,33.252,34.002,34.752,35.502,36.252,37.002,37.752,38.502,39.252,40.002,40.752,41.502,42.252,43.002,43.752,44.502,45.252,46.002,46.752,47.502,48.252,49.002,49.752,50.502,51.252,52.002,52.752,53.502,54.252,55.002,55.752,56.502,57.252,58.002,58.752,59.502,60.252,61.002,61.752,62.502,63.252,64.002,64.752,65.502,66.252,67.002,67.752,68.502,69.252,70.002,70.752,71.502,72.252,73.002,73.752,74.502,75.252,76.002,76.752,77.502,78.252,79.002,79.752,80.502,81.252,82.002,82.752,83.502,84.252,85.002
12.753,13.503,14.253,15.003,15.753,16.503,17.253,18.003,18.753,19.503,20.253,21.003,21.753,22.503,23.253,24.003,24.753,25.503,26.253,27.003,27.753,28.503,29.253,30.003,30.753,31.503,32.253,33.003,33.753,34.503,35.253,36.003,36.753,37.503,38.253,39.003,39.753,40.503,41.253,42.003,42.753,43.503,44.253,45.003,45.753,46.503,47.253,48.003,48.753,49.503,50.253,51.003,51.753,52.503,53.253,54.003,54.753,55.503,56.253,57.003,57.753,58.503,59.253,60.003,60.753,61.503,62.253,63.003,63.753,64.503,65.253,66.003,66.753,67.503,68.253,69.003,69.753,70.503,71.253,72.003,72.753,73.503,74.253,75.003,75.753,76.503,77.253,78.003,78.753,79.503,80.253,81.003,81.753,82.503,83.253,84.003,84.753,85.503,86.253,87.003
14.753,15.503,16.253,17.003,17.753,18.503,19.253,20.003,20.753,21.503,22.253,23.003,23.753,24.503,25.253,26.003,26.753,27.503,28.253,29.003,29.753,30.503,31.253,32.003,32.753,33.503,34.253,35.003,35.753,36.503,37.253,38.003,38.753,39.503,40.253,41.003,41.753,42.503,43.253,44.003,44.753,45.503,46.253,47.003,47.753,48.503,49.253,50.003,50.753,51.503,52.253,53.003,53.753,54.503,55.253,56.003,56.753,57.503,58.253,59.003,59.753,60.503,61.253,62.003,62.753,63.503,64.253,65.003,65.753,66.503,67.253,68.003,68.753,69.503,70.253,71.003,71.753,72.503,73.253,74.003,74.753,75.503,76.253,77.003,77.753,78.503,79.253,80.003,80.753,81.503,82.253,83.003,83.753,84.503,85.253,86.003,86.753,87.503,88.253,89.003
16.754,17.504,18.254,19.004,19.754,20.504,21.254,22.004,22.754,23.504,24.254,25.004,25.754,26.504,27.254,28.004,28.754,29.504,30.254,31.004,31.754,32.504,33.254,34.004,34.754,35.504,36.254,37.004,37.754,38.504,39.254,40.004,40.754,41.504,42.254,43.004,43.754,44.504,45.254,46.004,46.754,47.504,48.254,49.004,49.754,50.504,51.254,52.004,52.754,53.504,54.254,55.004,55.754,56.504,57.254,58.004,58.754,59.504,60.254,61.004,61.754,62.504,63.254,64.004,64.754,65.504,66.254,67.004,67.754,68.504,69.254,70.004,70.754,71.504,72.254,73.004,73.754,74.504,75.254,76.004,76.754,77.504,78.254,79.004,79.754,80.504,81.254,82.004,82.754,83.504,84.254,85.004,85.754,86.504,87.254,88.004,88.754,89.504,90.254,91.004
18.754,19.504,20.254,21.004,21.754,22.504,23.254,24.004,24.754,25.504,26.254,27.004,27.754,28.504,29.254,30.004,30.754,31.504,32.254,33.004,33.754,34.504,35.254,36.004,36.754,37.504,38.254,39.004,39.754,40.504,41.254,42.004,42.754,43.504,44.254,45.004,45.754,46.504,47.254,48.004,48.754,49.504,50.254,51.004,51.754,52.504,53.254,54.004,54.754,55.504,56.254,57.004,57.754,58.504,59.254,60.004,60.754,61.504,62.254,63.004,63.754,64.504,65.254,66.004,66.754,67.504,68.254,69.004,69.754,70.504,71.254,72.004,72.754,73.504,74.254,75.004,75.754,76.504,77.254,78.004,78.754,79.504,80.254,81.004,81.754,82.504,83.254,84.004,84.754,85.504,86.254,87.004,87.754,88.504,89.254,90.004,90.754,91.504,92.254,93.004
20.755,21.505,22.255,23.005,23.755,24.505,25.255,26.005,26.755,27.505,28.255,29.005,29.755,30.505,31.255,32.005,32.755,33.505,34.255,35.005,35.755,36.505,37.255,38.005,38.755,39.505,40.255,41.005,41.755,42.505,43.255,44.005,44.755,45.505,46.255,47.005,47.755,48.505,49.255,50.005,50.755,51.505,52.255,53.005,53.755,54.505,55.255,56.005,56.755,57.505,58.255,59.005,59.755,60.505,61.255,62.005,62.755,63.505,64.255,65.005,65.755,66.505,67.255,68.005,68.755,69.505,70.255,71.005,71.755,72.505,73.255,74.005,74.755,75.505,76.255,77.005,77.755,78.505,79.255,80.005,80.755,81.505,82.255,83.005,83.755,84.505,85.255,86.005,86.755,87.505,88.255,89.005,89.755,90.505,91.255,92.005,92.755,93.505,94.255,95.005
